Movie ID,Title,Release Year,Popularity Score,Average Rating,Number of Ratings
9600,Big Momma's House,2000,95.366,5.8,2095
11688,The Emperor's New Groove,2000,95.121,7.5,6003
4247,Scary Movie,2000,90.579,6.3,6240
98,Gladiator,2000,74.966,8.2,16701
10867,Malena,2000,74.228,7.4,1961
3134,Baise-moi,2000,65.519,4.9,373
955,Mission: Impossible II,2000,60.803,6.1,5980
10567,Dinosaur,2000,57.261,6.5,2250
8871,How the Grinch Stole Christmas,2000,54.305,6.7,6602
77,Memento,2000,49.152,8.2,13476
36968,Life-Size,2000,48.077,6.2,355
1359,American Psycho,2000,47.627,7.4,9557
10501,The Road to El Dorado,2000,40.878,7.2,3436
9532,Final Destination,2000,40.727,6.6,4967
7443,Chicken Run,2000,39.433,6.7,4413
4234,Scream 3,2000,38.916,6.0,3069
2024,The Patriot,2000,38.913,7.2,3479
8358,Cast Away,2000,38.748,7.7,10384
16366,Joseph: King of Dreams,2000,37.493,6.8,902
107,Snatch,2000,36.724,7.8,8168
10991,Pokémon 3: The Movie,2000,34.714,6.5,569
11978,Men of Honor,2000,30.23,7.4,2011
2123,"Me, Myself & Irene",2000,29.17,6.6,3430
9679,Gone in Sixty Seconds,2000,28.343,6.4,3951
3981,What Women Want,2000,27.869,6.4,3551
4327,Charlie's Angels,2000,27.682,5.8,3803
19576,One Piece: The Movie,2000,27.677,7.0,279
10637,Remember the Titans,2000,27.514,7.6,2370
9383,Hollow Man,2000,26.078,5.9,2265
2133,The Perfect Storm,2000,25.927,6.4,1999
9741,Unbreakable,2000,25.73,7.1,8482
9678,Little Nicky,2000,25.585,5.9,1624
55,Amores Perros,2000,24.844,7.6,2289
1493,Miss Congeniality,2000,24.509,6.5,3515
11849,Dungeons & Dragons,2000,24.19,4.3,544
1900,Traffic,2000,23.945,7.1,1885
15999,Vampire Hunter D: Bloodlust,2000,23.863,7.5,512
843,In the Mood for Love,2000,23.603,8.1,2261
1588,Bring It On,2000,23.49,6.2,1527
6282,Coyote Ugly,2000,22.751,6.2,1870
15653,An Extremely Goofy Movie,2000,22.347,6.4,546
462,Erin Brockovich,2000,22.265,7.4,2792
1907,The Beach,2000,22.258,6.5,3976
11678,Vertical Limit,2000,21.96,6.0,919
16234,Batman Beyond: Return of the Joker,2000,21.801,7.3,1008
2069,The Whole Nine Yards,2000,21.7,6.4,1658
2655,What Lies Beneath,2000,21.02,6.4,1616
8859,"Dude, Where's My Car?",2000,20.994,5.5,1670
146,"Crouching Tiger, Hidden Dragon",2000,20.989,7.4,2857
12107,Nutty Professor II: The Klumps,2000,20.949,5.0,1172
10559,Frequency,2000,20.665,7.2,1554
1636,Bedazzled,2000,20.664,6.0,1663
20677,Detective Conan: Captured in Her Eyes,2000,20.647,7.4,145
14181,Boiler Room,2000,20.638,6.7,567
2085,Romeo Must Die,2000,20.575,6.2,1035
9285,Road Trip,2000,20.551,6.2,1719
392,Chocolat,2000,20.435,7.0,3022
889,The Flintstones in Viva Rock Vegas,2000,20.202,4.8,674
2046,The Gift,2000,20.166,6.4,1044
8584,Shanghai Noon,2000,20.012,6.4,2258
671,Harry Potter and the Philosopher's Stone,2001,174.604,7.9,25048
585,"Monsters, Inc.",2001,120.179,7.8,16956
808,Shrek,2001,109.925,7.7,15553
120,The Lord of the Rings: The Fellowship of the Ring,2001,97.744,8.4,22990
129,Spirited Away,2001,86.713,8.5,14586
4248,Scary Movie 2,2001,78.404,5.8,4174
15167,Barbie in the Nutcracker,2001,50.829,6.8,958
2770,American Pie 2,2001,50.014,6.2,4493
1734,The Mummy Returns,2001,49.479,6.3,6350
5175,Rush Hour 2,2001,48.419,6.7,3607
8922,Jeepers Creepers,2001,46.367,6.4,2649
11770,Shaolin Soccer,2001,45.885,7.1,1942
8835,Legally Blonde,2001,38.718,6.7,3541
676,Pearl Harbor,2001,37.571,6.9,5850
853,Enemy at the Gates,2001,36.955,7.4,3206
453,A Beautiful Mind,2001,36.804,7.9,9347
869,Planet of the Apes,2001,36.621,5.7,3614
855,Black Hawk Down,2001,36.274,7.4,5125
1995,Lara Croft: Tomb Raider,2001,36.259,5.9,5627
11397,Not Another Teen Movie,2001,36.194,5.8,1832
2034,Training Day,2001,35.701,7.5,5246
141,Donnie Darko,2001,35.322,7.8,11368
9378,Thir13en Ghosts,2001,34.868,6.2,1851
161,Ocean's Eleven,2001,34.235,7.4,10615
9880,The Princess Diaries,2001,34.025,6.9,4523
1018,Mulholland Drive,2001,32.909,7.8,5531
10054,Spy Kids,2001,32.2,5.8,3109
23446,One Piece: Clockwork Island Adventure,2001,30.233,7.0,226
12600,Pokémon 4Ever,2001,30.08,6.5,366
10865,Atlantis: The Lost Empire,2001,29.819,7.0,4274
2057,Original Sin,2001,29.541,6.1,726
16664,All About Lily Chou-Chou,2001,29.309,7.3,177
42360,Inuyasha the Movie: Affections Touching Across Time,2001,28.065,7.7,166
1391,Y Tu Mamá También,2001,27.723,7.4,1310
9889,Shallow Hal,2001,27.242,6.2,2625
9398,Zoolander,2001,26.955,6.2,4027
1364,Sex and Lucía,2001,26.34,6.7,473
18269,Lady and the Tramp II: Scamp's Adventure,2001,25.829,6.4,1147
6312,Brotherhood of the Wolf,2001,25.699,6.7,1324
10808,Dr. Dolittle 2,2001,25.56,5.3,1529
194,Amélie,2001,25.551,7.9,10604
9476,A Knight's Tale,2001,25.314,6.9,2755
1933,The Others,2001,25.26,7.6,5780
9705,Swordfish,2001,24.46,6.2,2397
634,Bridget Jones's Diary,2001,23.493,6.7,4554
9397,Evolution,2001,23.449,6.0,1983
2043,Along Came a Spider,2001,23.249,6.3,1668
9428,The Royal Tenenbaums,2001,23.232,7.5,4102
5458,Cruel Intentions 2,2001,22.789,4.9,332
644,A.I. Artificial Intelligence,2001,22.431,7.0,5635
447399,X-Men: The Mutant Watch,2001,21.837,7.0,192
10992,Cats & Dogs,2001,21.726,5.4,1480
2140,Kiss of the Dragon,2001,21.634,6.8,1040
8007,Behind Enemy Lines,2001,21.463,6.3,1266
