,Movie ID,Budget,Revenue,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Release Date,Run Time
0,11688,100000000,169327687,Adventure,Animation,Comedy,Family,Fantasy,2000-12-15,78
1,4247,19000000,278019771,Comedy,N/A,N/A,N/A,N/A,2000-07-07,88
2,9600,30000000,173959438,Crime,Comedy,N/A,N/A,N/A,2000-05-31,98
3,98,103000000,465361176,Action,Drama,Adventure,N/A,N/A,2000-05-04,155
4,3134,0,940944,Crime,Drama,Romance,Thriller,N/A,2000-06-28,77
5,10867,0,14493284,Drama,N/A,N/A,N/A,N/A,2000-03-16,109
6,955,125000000,546388105,Adventure,Action,Thriller,N/A,N/A,2000-05-24,123
7,10567,127500000,354248063,Family,Animation,N/A,N/A,N/A,2000-05-19,82
8,8871,123000000,345823040,Family,Comedy,Fantasy,N/A,N/A,2000-11-15,104
9,1359,7000000,34266564,Thriller,Drama,Crime,N/A,N/A,2000-04-13,102
10,36968,7000000,0,TV Movie,Family,Comedy,Fantasy,N/A,2000-03-05,101
11,77,9000000,39723096,Mystery,Thriller,N/A,N/A,N/A,2000-10-11,113
12,2024,110000000,215294342,Drama,History,War,Action,N/A,2000-06-28,165
13,8358,90000000,429632142,Adventure,Drama,N/A,N/A,N/A,2000-12-22,143
14,7443,45000000,224834564,Animation,Comedy,Family,N/A,N/A,2000-06-23,84
15,9532,23000000,112880294,Horror,N/A,N/A,N/A,N/A,2000-03-17,98
16,4234,40000000,161834276,Horror,Mystery,N/A,N/A,N/A,2000-02-03,116
17,3981,70000000,374111707,Comedy,Romance,N/A,N/A,N/A,2000-12-15,127
18,2123,51000000,149270999,Comedy,N/A,N/A,N/A,N/A,2000-06-22,116
19,16366,0,0,Family,Animation,N/A,N/A,N/A,2000-11-07,75
20,10501,95000000,76432727,Family,Adventure,Animation,Comedy,Fantasy,2000-03-31,89
21,10991,16000000,68411275,Adventure,Fantasy,Animation,Action,Family,2000-07-08,74
22,107,10000000,83557872,Crime,Comedy,N/A,N/A,N/A,2000-09-01,103
23,11978,32000000,82343495,Drama,N/A,N/A,N/A,N/A,2000-09-13,129
24,11849,35000000,15185241,Drama,Adventure,Fantasy,N/A,N/A,2000-12-08,107
25,10637,30000000,136706683,Drama,N/A,N/A,N/A,N/A,2000-09-29,113
26,4327,92000000,264105545,Action,Adventure,Comedy,Crime,Thriller,2000-11-02,98
27,2085,25000000,91036760,Action,Crime,Thriller,N/A,N/A,2000-03-22,115
28,9741,75000000,248118121,Thriller,Drama,Mystery,N/A,N/A,2000-11-22,106
29,843,150000,14204632,Drama,Romance,N/A,N/A,N/A,2000-09-29,99
30,12107,84000000,123307945,Fantasy,Comedy,Romance,Science Fiction,N/A,2000-07-27,106
31,55,2000000,20908467,Drama,Thriller,N/A,N/A,N/A,2000-06-16,154
32,9679,90000000,237202299,Action,Crime,Thriller,N/A,N/A,2000-06-09,118
33,2133,120000000,325756637,Action,Adventure,Drama,Thriller,N/A,2000-06-29,130
34,1907,40000000,144056873,Drama,Adventure,Romance,Thriller,N/A,2000-02-03,119
35,20677,0,0,Animation,Crime,Thriller,N/A,N/A,2000-04-22,100
36,6282,45000000,113916474,Comedy,Drama,Music,Romance,N/A,2000-07-30,100
37,8859,13000000,73180723,Comedy,Science Fiction,N/A,N/A,N/A,2000-12-15,83
38,19576,0,0,Action,Animation,Adventure,Comedy,Fantasy,2000-03-04,51
39,1493,45000000,212000000,Comedy,Crime,Action,N/A,N/A,2000-12-22,111
40,1900,48000000,207515725,Thriller,Drama,Crime,N/A,N/A,2000-03-23,147
41,9678,85000000,58292295,Comedy,Fantasy,N/A,N/A,N/A,2000-11-10,90
42,15655,30000000,45554533,Family,Animation,Comedy,N/A,N/A,2000-02-11,77
43,15653,0,0,Animation,Family,Comedy,N/A,N/A,2000-02-29,79
44,1588,28000000,90449929,Comedy,N/A,N/A,N/A,N/A,2000-08-25,98
45,134,26000000,71870729,Adventure,Comedy,Crime,N/A,N/A,2000-08-30,107
46,1597,55000000,330444045,Comedy,Romance,N/A,N/A,N/A,2000-10-06,108
47,9383,95000000,190213455,Action,Science Fiction,Thriller,N/A,N/A,2000-08-04,112
48,71,5000000,109280263,Drama,Comedy,Music,N/A,N/A,2000-09-28,110
49,2332,10500000,64400000,Action,Comedy,N/A,N/A,N/A,2000-03-25,82
50,146,17000000,213525736,Adventure,Drama,Action,Romance,N/A,2000-07-06,120
51,15999,0,151086,Animation,Fantasy,Horror,Action,N/A,2000-08-25,103
52,786,60000000,47386287,Drama,Music,N/A,N/A,N/A,2000-09-15,124
53,9285,16000000,119754278,Comedy,Adventure,N/A,N/A,N/A,2000-05-19,93
54,2655,100000000,291420351,Drama,Horror,Mystery,Thriller,N/A,2000-07-21,130
55,10559,31000000,68106245,Science Fiction,Thriller,N/A,N/A,N/A,2000-04-28,118
56,7450,75000000,36754634,Animation,Action,Science Fiction,Family,Adventure,2000-06-16,94
57,12609,18000000,5595327,Adventure,Animation,Comedy,Family,N/A,2000-10-06,80
58,3176,4500000,30600000,Drama,Thriller,Action,N/A,N/A,2000-12-16,114
59,8584,55000000,99274467,Adventure,Action,Comedy,Western,N/A,2000-05-26,110
60,479,46000000,107626125,Action,Adventure,Crime,Thriller,N/A,2000-06-15,99
61,11678,75000000,215663859,Adventure,Action,Thriller,N/A,N/A,2000-12-08,124
62,16187,0,0,Animation,Family,Comedy,Science Fiction,Adventure,2000-08-08,70
63,462,52000000,256271286,Drama,N/A,N/A,N/A,N/A,2000-03-17,131
64,889,83000000,59468275,Comedy,Family,Romance,N/A,N/A,2000-04-28,90
65,10393,50000000,50054511,Comedy,N/A,N/A,N/A,N/A,2000-08-11,118
66,8452,82000000,96085477,Science Fiction,Action,Mystery,N/A,N/A,2000-11-17,123
67,3536,62000000,127666415,War,Drama,Action,Thriller,N/A,2000-04-20,116
68,392,25000000,152500343,Comedy,Drama,Romance,N/A,N/A,2000-12-22,121
69,10876,13500000,7060876,Drama,N/A,N/A,N/A,N/A,2000-11-22,124
70,10471,11000000,59827328,Comedy,N/A,N/A,N/A,N/A,2000-01-12,98
71,4244,65000000,110317580,Fantasy,Comedy,Family,N/A,N/A,2000-07-07,104
72,8843,33000000,104155843,Horror,Science Fiction,Thriller,N/A,N/A,2000-08-17,107
73,10481,85000000,183611771,Family,Comedy,N/A,N/A,N/A,2000-11-21,100
